epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.128209123244653,5.351851082000732,7.548000007324219,19.60599999633789
1,5.526847610106835,4.843365722198486,12.233999999389649,28.334000013427733
2,5.216755124238821,4.509620650939941,15.807999991455079,34.398000009765624
3,4.952388506669265,4.248354385070801,19.22600001098633,39.32599999267578
4,4.803364148506751,4.085411287460327,21.20800000854492,42.26600000366211
5,4.665128689545852,3.932164069137573,23.28000000366211,45.23200001831054
6,4.566033345002395,3.8464923446655273,24.521999992065428,46.692000002441404
7,4.437834758024949,3.666407936706543,26.871999982910157,49.9679999987793
8,4.373600959777832,3.5510738230133057,28.892000006103515,52.03599999389648
9,4.294262400040259,3.462773264541626,30.076000012207032,53.615999997558596
10,4.196048117600954,3.3763385744476317,31.077999998779298,55.241999990234376
11,4.120003865315364,3.285678782348633,32.87000002441406,56.86999997314453
12,4.050126006970038,3.259505387496948,32.96000001953125,57.22600002441406
13,4.010105215586149,3.1414747011566164,35.06000002685547,59.30600005859375
14,3.934610674014458,3.087202336730957,35.65600000610352,60.31200001953125
15,3.8778929389440098,3.033831914138794,36.716,61.25599999267578
16,3.8401274543542128,2.9710493927001953,37.741999990234376,62.27199998291016
17,3.821636195366199,2.9314494847106936,38.54799999755859,63.20800004150391
18,3.7481939425835242,2.905695654373169,39.02399999389648,63.72799999511719
19,3.7031745268748355,2.8777745057678223,39.469999981689455,64.0519999975586
20,3.66727765248372,2.8264627374267577,40.474000006103516,65.13199999023438
21,3.6542165187688975,2.777171057434082,41.10999998657226,65.89400002929688
22,3.6076003450613756,2.775365970993042,41.21999999267578,65.9600000366211
23,3.5490378508201013,2.728205142440796,41.846000009765625,66.84200001953126
24,3.532712459564209,2.690153768157959,42.48599998901367,67.27799998046875
25,3.516416017825787,2.6779093254852295,42.704000001220706,67.61399997070312
26,3.477687423045819,2.636663925628662,43.437999976806644,68.20800002197265
27,3.4548636216383715,2.6226450762939453,43.45599997314453,68.55999999511718
28,3.434168508419624,2.5893457382965086,44.43199998413086,69.02199996582031
29,3.3953171234864454,2.5616220851898195,44.575999981689456,69.40199996826172
30,3.3962674003380995,2.5182113742828367,45.63399997802734,70.04600002685547
31,3.3557563515809865,2.509871379776001,45.68199997802734,70.39399998291016
32,3.3090014503552365,2.502068799209595,45.77999998168945,70.7460000024414
33,3.295370468726525,2.4743677546691893,46.41399998779297,70.99600000488282
34,3.2874660079295817,2.447186170196533,46.89599998046875,71.66600000488282
35,3.277066253698789,2.4254780254364015,47.41599998657227,72.01399997314454
36,3.260011228231283,2.422920881462097,47.38999998413086,71.94600000976563
37,3.2417789743496823,2.383759637451172,48.11999999267578,72.51399998046875
38,3.223734887746664,2.3870737525939942,47.79399997192383,72.47999997070312
39,3.1977664599051843,2.3773183646774294,48.17199998657227,72.48400000732421
40,3.18456481053279,2.3630353143310545,48.323999981689454,72.91599999511719
41,3.1698387402754564,2.346838524131775,48.657999973144534,73.14799998046875
42,3.1297615491426907,2.3384658515930177,48.87999999145508,73.26800003662109
43,3.155935443364657,2.3337675862121583,49.12399997802734,73.42999997070312
44,3.1169173259001512,2.3084347660827635,49.59799997192383,73.83799998535156
45,3.109177731550657,2.291257378997803,49.80199996826172,74.024
46,3.1046561369529138,2.2916660884857176,49.771999975585935,74.22599998046876
47,3.1038315250323367,2.282589528236389,49.88199998046875,74.19599997802734
48,3.0917504017169657,2.280631259880066,49.99399998779297,74.18000002685547
49,3.088216850390801,2.264003599395752,50.54599997680664,74.66800000488281
50,3.0419168013792772,2.256585635108948,50.40599998779297,74.57000001464844
51,3.040071753355173,2.258879713020325,50.3099999987793,74.7279999584961
52,3.0401027294305654,2.2457720568847654,50.83399998779297,74.7619999951172
53,3.0068578995191135,2.229629585342407,51.18799997924805,75.18599999511719
54,3.021521187745608,2.2253672151184083,50.98600000244141,74.90799998779296
55,3.008606594342452,2.2077743419647216,51.564000024414064,75.42200000244141
56,2.9946526243136478,2.199700549697876,51.70199997070313,75.48199995361328
57,2.9786161459409275,2.191497802963257,51.65799996826172,75.74999996826172
58,2.985477993121514,2.202134122543335,51.507999974365234,75.53200005371093
59,2.973339181679946,2.1897955436706544,51.713999993896486,75.6500000024414
60,2.9667610434385447,2.1719514821243284,52.08999996582031,76.00799997802734
61,2.964372428563925,2.193836025657654,51.796,75.63600000488282
62,2.969991839849032,2.1720021605300905,52.18999999633789,75.9500000024414
63,2.924080926638383,2.1682432480239866,52.36000000366211,76.13399997802735
64,2.9269743790993323,2.1330206007003785,53.02799997680664,76.67199999511719
65,2.9011099063433132,2.1385946965789793,52.697999969482424,76.60400005126954
66,2.9213417447530308,2.136858967514038,52.79799996582031,76.85399999511719
67,2.899459618788499,2.132921257019043,53.11800000976562,76.71600002685547
68,2.8995575996545644,2.1468952500915526,52.733999963378906,76.61400000976562
69,2.8882978420991163,2.113440754737854,53.11599998413086,76.902
70,2.883306705034696,2.1101934372329714,53.30799997192383,77.02600000488282
71,2.8934677151533275,2.1188158687591554,53.30199998046875,76.93199999267578
72,2.866220616377317,2.1094031985473634,53.235999970703126,76.94399999511718
73,2.8797599535722,2.1029869455337526,53.594000002441405,77.14400003173829
74,2.845935344696045,2.113787717590332,53.29799999511719,77.06599997802735
75,2.8393313884735107,2.1086005392456055,53.49199999511719,77.1840000366211
76,2.832389235496521,2.092821895523071,53.77600001464844,77.31599997070313
77,2.85933564717953,2.0946186805725096,53.751999996337894,77.26000001953125
78,2.8256074556937585,2.0903427448272707,53.599999982910155,77.29799999267578
79,2.828374670102046,2.0983359955978393,53.79000000244141,77.32000001953125
80,2.8184176820975084,2.072733252334595,54.07799997314453,77.5460000024414
81,2.8125082346109243,2.068787191696167,54.338000004882815,77.56199997070313
82,2.8014780970720143,2.068116455039978,54.383999965820315,77.752
83,2.8149538727907033,2.0590447203826905,54.29199996582031,77.83800002441406
84,2.790621762092297,2.0645308417129518,54.37799999145508,77.7679999609375
85,2.7799626772220316,2.041743842315674,54.49199996948242,78.2060000390625
86,2.7935510644545922,2.0502297972869874,54.38799997680664,77.98800002197265
87,2.7838136095267076,2.0459353816223143,54.61799999511719,78.1240000024414
88,2.7781595908678494,2.036645767593384,54.873999982910156,78.23
89,2.781448932794424,2.0270954341125487,55.14599997192383,78.16399997314453
90,2.77114258821194,2.0330121268463133,55.13199997924805,78.49799999511718
91,2.779017686843872,2.0261658224105834,55.06399998413086,78.45400000732423
92,2.7752380554492655,2.02678075340271,55.207999975585935,78.36600002929687
93,2.765259187955123,2.026551902885437,55.20999999511719,78.25799997802734
94,2.745746979346642,2.023727461013794,55.06600000854492,78.33599992919922
